crypto_id,date,price,market_cap,volume
bitcoin,2025-08-17,117501.21653394958,2339465736068.208,23202714236.542347
bitcoin,2025-08-18,117542.83687778088,2340648324181.828,20906566026.645443
bitcoin,2025-08-19,116256.41276740946,2313556987528.4634,47337926940.98573
bitcoin,2025-08-20,112778.34483555844,2245419916215.7417,46156885037.403885
bitcoin,2025-08-21,114252.39755195397,2274471285844.184,42166369117.006935
bitcoin,2025-08-22,112414.39987336512,2238121481749.57,32048202090.65466
bitcoin,2025-08-23,116834.24948202295,2326174803320.612,50878158870.82928
bitcoin,2025-08-24,115359.98346714744,2296786080139.701,27306719885.257973
bitcoin,2025-08-25,113399.54847314971,2259663171125.389,40682656776.69001
bitcoin,2025-08-26,110185.35443900425,2194453712375.598,52854872363.936554
bitcoin,2025-08-27,111842.70999260596,2227025695775.593,43023800053.0546
bitcoin,2025-08-28,111216.08479629169,2215255294289.9937,36957904262.995804
bitcoin,2025-08-29,112525.59740669793,2239422945686.892,34222495087.206894
bitcoin,2025-08-30,108480.30666639366,2160278651486.2852,51702115726.38959
bitcoin,2025-08-31,108781.95727925687,2166165747945.1812,27799981330.792213
bitcoin,2025-09-01,108253.36092385623,2155694976689.5986,26140904019.246822
bitcoin,2025-09-02,109162.68557992298,2174100506466.4321,42999610648.39302
bitcoin,2025-09-03,111190.18209845416,2212595221503.454,50235464642.845955
bitcoin,2025-09-04,111711.51977725117,2225365905592.233,36406080683.42747
bitcoin,2025-09-05,110724.736377486,2204051936301.3257,38708366685.43147
bitcoin,2025-09-06,110662.18112628513,2204045604630.5625,56020470627.40665
bitcoin,2025-09-07,110209.1888247784,2195288669199.568,19340758702.076332
bitcoin,2025-09-08,111131.9923868407,2213764479139.3647,22147049159.335133
bitcoin,2025-09-09,112025.12878118771,2231763512226.867,37159847899.8603
bitcoin,2025-09-10,111547.43956434788,2222026777598.0474,45338021458.38368
bitcoin,2025-09-11,113975.32489468766,2270241314652.7144,52205187155.05567
bitcoin,2025-09-12,115503.16663193036,2299764311655.674,43752917632.95067
bitcoin,2025-09-13,116160.14344594491,2314347371939.946,51192951485.864395
bitcoin,2025-09-14,115970.58488443034,2310166037871.29,30063858747.76022
bitcoin,2025-09-15,115373.55555886829,2297459118244.424,26889399414.610912
